# mesh name: boxMesh_1
# primitive scorer name: betacount
# iX, iY, iZ, total(value) [percm2], total(val^2), entry
0,0,105,17360000,200799999999.9999,1633
0,0,106,17110000,192299999999.9999,1620
0,0,107,17020000,190199999999.9999,1613
0,0,108,16950000,189099999999.9999,1606
0,0,109,16830000,189899999999.9999,1594
0,0,110,16710000,187299999999.9999,1587
0,0,111,16660000,185399999999.9999,1584
0,0,112,16580000,185799999999.9999,1575
0,0,113,16370000,178899999999.9999,1567
0,0,114,16350000,181899999999.9999,1556
0,0,115,16270000,179699999999.9999,1555
0,0,116,16210000,176899999999.9999,1553
0,0,117,16260000,182799999999.9999,1546
0,0,118,16070000,176299999999.9999,1542
0,0,119,15930000,171499999999.9999,1535
0,0,120,15920000,174199999999.9999,1526
0,0,121,15830000,172499999999.9999,1520
0,0,122,15730000,169699999999.9999,1516
0,0,123,15710000,171299999999.9999,1508
0,0,124,15610000,167899999999.9999,1506
0,0,125,15570000,168499999999.9999,1499
0,0,126,15610000,170699999999.9999,1493
0,0,127,15550000,168499999999.9999,1492
0,0,128,15590000,172299999999.9999,1489
0,0,129,15510000,170099999999.9999,1482
0,0,130,15490000,172299999999.9999,1477
0,0,131,15520000,175199999999.9999,1475
0,0,132,15360000,170399999999.9999,1467
0,0,133,15360000,170999999999.9999,1464
0,0,134,15130000,162300000000,1460
0,0,135,15130000,166299999999.9999,1452
0,0,136,15060000,164599999999.9999,1447
0,0,137,15020000,162400000000,1445
0,0,138,15020000,164800000000,1437
0,0,139,14880000,162200000000,1428
0,0,140,14770000,159900000000,1424
0,0,141,14770000,159700000000,1422
0,0,142,14620000,157200000000,1413
0,0,143,14610000,157700000000,1407
0,0,144,14530000,158100000000,1397
0,0,145,14460000,159000000000,1391
0,0,146,14410000,156900000000,1386
0,0,147,14320000,158599999999.9999,1377
0,0,148,14310000,157900000000,1370
0,0,149,14100000,151600000000,1364
0,0,150,14070000,153100000000,1357
0,0,151,14040000,153200000000,1352
0,0,152,13870000,147700000000,1347
0,0,153,13950000,152300000000,1343
0,0,154,13850000,149700000000,1341
0,0,155,13760000,148800000000,1333
0,0,156,13750000,147300000000,1329
0,0,157,13590000,145500000000,1316
0,0,158,13570000,146900000000,1310
0,0,159,13520000,145800000000,1306
0,0,160,13550000,148700000000,1300
0,0,161,13490000,147300000000,1299
0,0,162,13430000,146700000000,1291
0,0,163,13350000,145900000000,1285
0,0,164,13280000,143400000000,1281
0,0,165,13150000,139700000000,1276
0,0,166,13070000,139700000000,1269
0,0,167,13090000,141100000000,1264
0,0,168,12990000,137900000000,1260
0,0,169,12920000,137400000000,1255
0,0,170,12950000,138500000000,1252
0,0,171,12960000,141400000000,1246
0,0,172,13000000,143600000000,1243
0,0,173,12960000,144200000000,1238
0,0,174,12850000,140300000000,1234
0,0,175,12790000,139500000000,1226
0,0,176,12720000,138000000000,1223
0,0,177,12710000,138300000000,1219
0,0,178,12640000,137400000000,1212
0,0,179,12570000,135500000000,1210
0,0,180,12490000,135500000000,1201
0,0,181,12440000,135400000000,1196
0,0,182,12370000,134900000000,1189
0,0,183,12310000,133900000000,1184
0,0,184,12350000,137300000000,1182
0,0,185,12310000,135100000000,1179
0,0,186,12220000,134000000000,1174
0,0,187,12220000,133800000000,1171
0,0,188,12110000,131100000000,1167
0,0,189,12070000,131100000000,1162
0,0,190,12000000,129000000000,1160
0,0,191,11990000,129300000000,1157
0,0,192,11910000,127700000000,1153
0,0,193,11890000,127500000000,1150
0,0,194,11860000,129400000000,1142
0,0,195,11780000,128200000000,1135
0,0,196,11760000,128200000000,1132
0,0,197,11760000,128800000000,1129
0,0,198,11790000,130700000000,1125
0,0,199,11730000,131300000000,1121
0,0,200,11680000,130400000000,1115
0,0,201,11610000,129300000000,1111
0,0,202,11460000,125000000000,1108
0,0,203,11370000,122500000000,1099
0,0,204,11360000,123200000000,1096
0,0,205,11330000,122500000000,1092
0,0,206,11360000,123400000000,1092
0,0,207,11300000,122400000000,1087
